"Piso en calle Viladomat, Sant Antoni, Barcelona",1.250,€/mes,3 ,82 ,2ª planta exterior con ascensor
"Ático en MARQUES DE SENTMENAT, Les Corts, Barcelona",980,€/mes,2 ,55 ,6ª planta exterior con ascensor
"Piso en calle del Consejo de Ciento, La Dreta de l'Eixample, Barcelona",1.600,€/mes,2 ,60 ,4ª planta exterior con ascensor
"Piso en Verdun, Barcelona",800,€/mes,1 ,70 ,2ª planta exterior sin ascensor
"Dúplex en Diagonal Mar i el Front Marítim del Poblenou, Barcelona",7.500,€/mes,3 ,240 ,21ª planta exterior con ascensor
"Piso en Buenestar, La Gavarra, Cornellà de Llobregat",890,€/mes,2 ,69 ,4ª planta exterior con ascensor
"Piso en calle del Marquès de Sentmenat, Les Corts, Barcelona",1.350,€/mes,3 ,92 ,7ª planta exterior con ascensor
"Piso en calle de Calders, Barcelona, 23, Sant Pere - Santa Caterina i la Ribera, Barcelona",875,€/mes,1 ,33 ,3ª planta exterior sin ascensor
"Piso en calle Balmes, L'Antiga Esquerra de l'Eixample, Barcelona",1.050,€/mes,2 ,70 ,4ª planta exterior sin ascensor
"Piso en calle de Sant Erasme, El Raval, Barcelona",1.150,€/mes,2 ,47 ,1ª planta interior sin ascensor
"Piso en paseo de la Ciutat de Mallorca, Barcelona, Porta, Barcelona",850,€/mes,3 ,80 ,2ª planta exterior sin ascensor
"Piso en calle Acacies, Barcelona, El Congrés i els Indians, Barcelona",1.050,€/mes,3 ,90 ,2ª planta exterior con ascensor
"Piso en calle de Radas, Barcelona, El Poble Sec - Parc de Montjuïc, Barcelona",1.200,€/mes,3 ,70 ,1ª planta exterior con ascensor
"Piso en travesía de Gràcia, Barcelona, El Baix Guinardó, Barcelona",1.350,€/mes,3 ,90 ,7ª planta exterior con ascensor
"Piso en avenida Diagonal, Barcelona, Diagonal Mar i el Front Marítim del Poblenou, Barcelona",2.300,€/mes,3 ,96 ,15ª planta exterior con ascensor
"Piso en travesía de Gràcia, Barcelona, El Baix Guinardó, Barcelona",1.350,€/mes,3 ,90 ,7ª planta exterior con ascensor
"Piso en calle Jules Verne, L'Hostal - Lledoner, Granollers",1.200,€/mes,3 ,116 ,1ª planta exterior con ascensor
"Piso en MONTSENY, Vila de Gràcia, Barcelona",1.100,€/mes,2 ,74 ,1ª planta exterior con ascensor
"Chalet en avenida Sant Jeroni, Sant Fost de Campsentelles",850,€/mes,3 ,71 ,
"Piso en Bòbiles, La Florida, Hospitalet de Llobregat",1.100,€/mes,3 ,65 ,Entreplanta exterior sin ascensor
"Ático en marina, El Fort Pienc, Barcelona",1.850,€/mes,3 ,70 ,6ª planta exterior con ascensor
"Piso en Elknano, 15, El Poble Sec - Parc de Montjuïc, Barcelona",4.000,€/mes,2 ,150 ,4ª planta exterior con ascensor
"Piso en calle del Consejo de Ciento, Barcelona, La Nova Esquerra de l'Eixample, Barcelona",2.495,€/mes,4 ,151 ,Bajo exterior con ascensor
"Piso en Provença, El Camp de l'Arpa del Clot, Barcelona",1.750,€/mes,3 ,100 ,Bajo exterior con ascensor
